START,END,STARTSHARE,ENDSHARE,SHARECHANGE,ABSCHANGE,ABSPCHANGE,PRODUCT,NAME,WITHPS
14033,10506,0.01874924,0.010052386,-0.008696854,0.008696854,46.38510148,1,Agricultural products,1
489,525,0.000653344,0.000502332,-0.000151012,0.000151012,23.11370427,2,Forestry products and services,1
768,928,0.001026111,0.000887932,-0.000138179,0.000138179,13.46628191,3,Fish,1
1690,1646,0.002257979,0.001574931,-0.000683048,0.000683048,30.2504142,4,Coal,1
12811,23073,0.017116548,0.022076785,0.004960237,0.004960237,28.9791902,5,"Oil, gas and metal ores",1
3475,4510,0.004642885,0.004315273,-0.000327612,0.000327612,7.056216124,6,Other mining products,1
1567,2487,0.002093641,0.00237962,0.000285979,0.000285979,13.65940961,7,Oil and gas support services,1
3853,4386,0.005147924,0.004196627,-0.000951297,0.000951297,18.47923551,8,Manufactured goods - meat processing,1
3842,4677,0.005133227,0.004475063,-0.000658165,0.000658165,12.8216617,9,"Manufactured goods - fish, vegetables and fruit processing",1
1848,2223,0.00246908,0.002127018,-0.000342061,0.000342061,13.8537836,10,Manufactured goods - food oils and fats,1
2949,2884,0.003940106,0.002759479,-0.001180628,0.001180628,29.96437152,11,Manufactured goods - dairy,1
3939,3734,0.005262827,0.003572778,-0.001690049,0.001690049,32.11294994,12,Manufactured goods - grain and starch,1
2835,3223,0.003787793,0.003083842,-0.000703951,0.000703951,18.58472731,13,Manufactured goods - bakery and farinaceous,1
6962,7965,0.009301804,0.007621098,-0.001680706,0.001680706,18.06860261,14,Manufactured goods - other foods,1
3514,2435,0.004694992,0.002329865,-0.002365128,0.002365128,50.3755491,15,Manufactured goods - animal feeds,1
12224,15759,0.016332268,0.015078579,-0.001253688,0.001253688,7.676141489,16,Manufactured goods - alcohol and tobacco,1
932,1074,0.001245229,0.001027628,-0.0002176,0.0002176,17.47469743,17,Manufactured goods - bottled non-alcoholic drinks,1
9155,5395,0.012231832,0.005162062,-0.00706977,0.00706977,57.79812869,18,Manufactured goods -  textiles,1
1626,1267,0.002172469,0.001212295,-0.000960174,0.000960174,44.19736254,19,Manufactured goods -  clothes,1
1379,1554,0.001842457,0.001486903,-0.000355554,0.000355554,19.29781808,20,Manufactured goods -  leather,1
6680,8326,0.008925028,0.007966511,-0.000958517,0.000958517,10.73965258,21,"Manufactured goods -  wood, cork and straw (exc. furniture)",1
17208,17372,0.022991301,0.016621935,-0.006369366,0.006369366,27.70337355,22,Manufactured goods -  paper,1
8832,9442,0.011800277,0.009034326,-0.002765951,0.002765951,23.43971247,23,Manufactured goods -  books and recordings,1
14125,25657,0.01887216,0.024549217,0.005677057,0.005677057,30.08164937,24,Manufactured goods -  coke and refined petroleum,1
3359,3937,0.0044879,0.003767014,-0.000720886,0.000720886,16.06288019,25,"Manufactured goods -  paints, varnishes, inks and mastics",1
2849,3603,0.003806498,0.003447435,-0.000359063,0.000359063,9.432896064,26,Manufactured goods -  cleaning products,1
4024,4162,0.005376394,0.003982299,-0.001394096,0.001394096,25.92994487,27,Manufactured goods - other chemicals,1
5632,5079,0.007524814,0.004859706,-0.002665109,0.002665109,35.41760634,28,Manufactured goods -  inorganic chemicals,1
12635,14925,0.016881397,0.014280588,-0.002600809,0.002600809,15.40636122,29,Manufactured goods -  petrochemicals,1
2192,1777,0.002928692,0.001700275,-0.001228417,0.001228417,41.94421947,30,Manufactured goods -  dyestuffs and agro-chemicals,1
4253,4404,0.005682357,0.00421385,-0.001468507,0.001468507,25.84327243,31,Manufactured goods -  pharmaceuticals,1
18544,20150,0.024776306,0.01927999,-0.005496316,0.005496316,22.18375895,32,Manufactured goods -  rubber and plastic,1
5355,6831,0.00715472,0.00653606,-0.000618659,0.000618659,8.646865286,33,"Manufactured goods -  cement, lime, plaster and concrete",1
6950,8657,0.009285771,0.00828322,-0.001002551,0.001002551,10.79663713,34,"Manufactured goods -  glass, stone and earthenware",1
11943,10002,0.015956829,0.009570147,-0.006386681,0.006386681,40.02475053,35,Manufactured goods -  iron and steel (non-fabricated),1
11725,9931,0.015665563,0.009502213,-0.00616335,0.00616335,39.34330353,36,Manufactured goods -  other non-fabricated metals,1
1526,2148,0.002038861,0.002055257,1.64E-05,1.64E-05,0.804370676,37,Manufactured goods -  arms,1
20096,22798,0.026849906,0.021813659,-0.005036247,0.005036247,18.75703773,38,Manufactured goods -  other fabricated metal products,1
25344,29107,0.033861665,0.027850257,-0.006011408,0.006011408,17.75284234,39,"Manufactured goods -  computers, electronics and optical",1
11926,10941,0.015934115,0.010468604,-0.005465511,0.005465511,34.30068755,40,Manufactured goods -  electricals,1
9959,10924,0.013306042,0.010452338,-0.002853703,0.002853703,21.44667062,41,Manufactured goods -  other machinery and equipment,1
18497,18112,0.024713511,0.017329984,-0.007383526,0.007383526,29.87647526,42,Manufactured goods -  motor vehicles,1
379,456,0.000506375,0.000436311,-7.01E-05,7.01E-05,13.84349543,43,Manufactured goods -  ships and boats,1
1519,1845,0.002029509,0.001765339,-0.00026417,0.00026417,13.01644881,44,Manufactured goods -  aircraft and spacecraft,1
137,397,0.000183043,0.000379859,0.000196816,0.000196816,107.5244615,45,Manufactured goods -  other transport equipment,1
1948,2327,0.002602688,0.002226528,-0.00037616,0.00037616,14.45275039,46,Manufactured goods -  furniture,1
6522,8166,0.008713927,0.007813419,-0.000900508,0.000900508,10.33412375,47,Manufactured goods -  other,1
751,630,0.001003398,0.000602799,-0.000400599,0.000400599,39.92423744,48,Repair - ships and boats,1
3307,3694,0.004418424,0.003534505,-0.000883918,0.000883918,20.0052779,49,Repair - aircraft and spacecraft,1
11020,10690,0.014723625,0.010228442,-0.004495183,0.004495183,30.53040946,50,Other repair and installation,1
20905,23293,0.027930796,0.022287286,-0.00564351,0.00564351,20.20533178,51,Electricity,1
5999,9167,0.008015157,0.0087712,0.000756043,0.000756043,9.432666135,52,"Natural gas, steam and air-con supply",1
1209,1495,0.001615323,0.001430451,-0.000184872,0.000184872,11.44489368,53,Water,1
1571,2217,0.002098985,0.002121277,2.23E-05,2.23E-05,1.062418264,54,Sewerage,1
5258,10286,0.00702512,0.009841885,0.002816765,0.002816765,40.09561403,55,Waste collection and recycling,1
193,260,0.000257864,0.000248774,-9.09E-06,9.09E-06,3.525114014,56,Waste management,1
53703,97918,0.071751617,0.093690228,0.021938611,0.021938611,30.57577225,57,Construction,1
6397,11816,0.008546917,0.011305825,0.002758907,0.002758907,32.27955765,58,"Motor vehicles - wholesale, retail and repair",1
0,0,0,0,0,0,0,59,Wholesale trade exc. motor vehicles,1
0,0,0,0,0,0,0,60,Retail trade exc. motor vehicles,1
1534,2222,0.00204955,0.002126061,7.65E-05,7.65E-05,3.732526652,61,Rail,1
24077,30224,0.032168849,0.028919029,-0.00324982,0.00324982,10.10238197,62,Land transport exc. rail,1
2200,1946,0.002939381,0.001861978,-0.001077402,0.001077402,36.65404383,63,Water transport,1
5285,6444,0.007061194,0.00616577,-0.000895424,0.000895424,12.68091487,64,Air transport,1
20851,28701,0.027858648,0.027461787,-0.000396861,0.000396861,1.424552261,65,Warehousing and transport support,1
8917,12732,0.011913844,0.012182275,0.000268431,0.000268431,2.253101518,66,Postal and courier,1
5356,7788,0.007156056,0.00745174,0.000295684,0.000295684,4.131940834,67,Accommodation,1
4137,7687,0.005527372,0.007355101,0.001827729,0.001827729,33.06687156,68,Pubs and restaurants,1
8514,8216,0.011375403,0.007861261,-0.003514142,0.003514142,30.89246157,69,Book publishing,1
2625,3500,0.003507216,0.003348882,-0.000158334,0.000158334,4.514520919,70,"Other media publishing, broadcast and production",1
