START,END,STARTSHARE,ENDSHARE,SHARECHANGE,ABSCHANGE,ABSPCHANGE,PRODUCT,NAME,WITHPS
14033,10628.95293,0.01874924,0.014201154,0.004548086,0.004548086,24.25744365,1,Agricultural products,1
489,376.854601,0.000653344,0.000503509,0.000149835,0.000149835,22.93361943,2,Forestry products and services,1
768,803.4365644,0.001026111,0.001073457,-4.73462E-05,4.73462E-05,4.614135993,3,Fish,1
1690,1276.880594,0.002257979,0.001706017,0.000551961,0.000551961,24.44493527,4,Coal,1
12811,17238.37376,0.017116548,0.023031883,-0.005915335,0.005915335,34.55915824,5,"Oil, gas and metal ores",1
3475,3104.495066,0.004642885,0.00414786,0.000495025,0.000495025,10.6620125,6,Other mining products,1
1567,2067.31237,0.002093641,0.002762099,-0.000668458,0.000668458,31.92803894,7,Oil and gas support services,1
3853,3862.363177,0.005147924,0.005160434,-1.251E-05,1.251E-05,0.243010049,8,Manufactured goods - meat processing,1
3842,3539.748835,0.005133227,0.004729395,0.000403832,0.000403832,7.867026666,9,"Manufactured goods - fish, vegetables and fruit processing",1
1848,2125.450608,0.00246908,0.002839777,-0.000370697,0.000370697,15.01356103,10,Manufactured goods - food oils and fats,1
2949,2461.564752,0.003940106,0.003288853,0.000651254,0.000651254,16.52883173,11,Manufactured goods - dairy,1
3939,3842.887384,0.005262827,0.005134413,0.000128414,0.000128414,2.440025797,12,Manufactured goods - grain and starch,1
2835,2122.962829,0.003787793,0.002836453,0.00095134,0.00095134,25.1159496,13,Manufactured goods - bakery and farinaceous,1
6962,6428.579358,0.009301804,0.00858911,0.000712694,0.000712694,7.661887993,14,Manufactured goods - other foods,1
3514,2761.111318,0.004694992,0.003689071,0.001005921,0.001005921,21.42540357,15,Manufactured goods - animal feeds,1
12224,10869.16918,0.016332268,0.014522102,0.001810165,0.001810165,11.08336735,16,Manufactured goods - alcohol and tobacco,1
932,703.544944,0.001245229,0.000939994,0.000305235,0.000305235,24.51234506,17,Manufactured goods - bottled non-alcoholic drinks,1
9155,6513.369597,0.012231832,0.008702397,0.003529435,0.003529435,28.85451014,18,Manufactured goods -  textiles,1
1626,861.120285,0.002172469,0.001150527,0.001021942,0.001021942,47.04057288,19,Manufactured goods -  clothes,1
1379,1135.782334,0.001842457,0.001517498,0.000324959,0.000324959,17.63724919,20,Manufactured goods -  leather,1
6680,5999.560597,0.008925028,0.008015906,0.000909123,0.000909123,10.18621861,21,"Manufactured goods -  wood, cork and straw (exc. furniture)",1
17208,15396.71393,0.022991301,0.020571274,0.002420027,0.002420027,10.52583724,22,Manufactured goods -  paper,1
8832,6816.126695,0.011800277,0.009106905,0.002693372,0.002693372,22.82465246,23,Manufactured goods -  books and recordings,1
14125,18809.04939,0.01887216,0.025130434,-0.006258275,0.006258275,33.16141162,24,Manufactured goods -  coke and refined petroleum,1
3359,3165.603472,0.0044879,0.004229506,0.000258394,0.000258394,5.757562607,25,"Manufactured goods -  paints, varnishes, inks and mastics",1
2849,3002.611801,0.003806498,0.004011736,-0.000205238,0.000205238,5.39177962,26,Manufactured goods -  cleaning products,1
4024,3637.36875,0.005376394,0.004859823,0.000516571,0.000516571,9.608132448,27,Manufactured goods - other chemicals,1
5632,4518.935165,0.007524814,0.006037668,0.001487146,0.001487146,19.76322505,28,Manufactured goods -  inorganic chemicals,1
12635,13515.83206,0.016881397,0.018058261,-0.001176864,0.001176864,6.97136574,29,Manufactured goods -  petrochemicals,1
2192,1736.365954,0.002928692,0.002319927,0.000608764,0.000608764,20.78622473,30,Manufactured goods -  dyestuffs and agro-chemicals,1
4253,3712.952413,0.005682357,0.004960809,0.000721548,0.000721548,12.69803872,31,Manufactured goods -  pharmaceuticals,1
18544,16316.22037,0.024776306,0.02179981,0.002976496,0.002976496,12.01347944,32,Manufactured goods -  rubber and plastic,1
5355,4230.892614,0.00715472,0.00565282,0.0015019,0.0015019,20.99173457,33,"Manufactured goods -  cement, lime, plaster and concrete",1
6950,6350.448008,0.009285771,0.00848472,0.000801051,0.000801051,8.626647363,34,"Manufactured goods -  glass, stone and earthenware",1
11943,10170.76535,0.015956829,0.013588978,0.002367851,0.002367851,14.83910782,35,Manufactured goods -  iron and steel (non-fabricated),1
11725,9704.194948,0.015665563,0.012965601,0.002699961,0.002699961,17.2350111,36,Manufactured goods -  other non-fabricated metals,1
1526,1303.739985,0.002038861,0.001741904,0.000296958,0.000296958,14.56487649,37,Manufactured goods -  arms,1
20096,20028.30049,0.026849906,0.026759454,9.04521E-05,9.04521E-05,0.336880538,38,Manufactured goods -  other fabricated metal products,1
25344,24301.69293,0.033861665,0.032469057,0.001392608,0.001392608,4.112638374,39,"Manufactured goods -  computers, electronics and optical",1
