date,COE,GVA,WAGESHARE,NUMBER
1997,433483,847346,0.51,0
1998,468881,882137,0.53,0
1999,501286,914805,0.55,0
2000,537710,968346,0.56,0
2001,573750,1006371,0.57,0
2002,592892,1054355,0.56,0
2003,622630,1118059,0.56,0
2004,658832,1172773,0.56,0
2005,689863,1241819,0.56,0
2006,736570,1310789,0.56,0
2007,781466,1377734,0.57,0
2008,792367,1414107,0.56,0
2009,795449,1382229,0.58,0
2010,819664,1414635,0.58,0
2011,831143,1452075,0.57,0
2012,850503,1495576,0.57,0
2013,879055,1551553,0.57,0
2014,899342,1624276,0.55,0
1997,2598,8697,0.3,1
1997,156,267,0.58,2
1997,52,418,0.12,3
1997,530,1124,0.47,4
1997,1216,13653,0.09,5
1997,922,1685,0.55,6
1997,142,1559,0.09,7
1997,1999,2618,0.76,8
1997,1275,1852,0.69,9
1997,103,283,0.36,10
1997,1091,1696,0.64,11
1997,425,671,0.63,12
1997,2062,2793,0.74,13
1997,2593,4462,0.58,14
1997,662,1071,0.62,15
1997,1439,4242,0.34,16
1997,210,842,0.25,17
1997,2877,4062,0.71,18
1997,2271,3618,0.63,19
1997,478,777,0.62,20
1997,1335,2083,0.64,21
1997,2671,4189,0.64,22
1997,3292,5653,0.58,23
1997,1468,2152,0.68,24
1997,694,1134,0.61,25
1997,1011,1790,0.56,26
1997,1078,1854,0.58,27
1997,643,1159,0.55,28
1997,2065,4086,0.51,29
1997,526,867,0.61,30
1997,2119,6337,0.33,31
1997,4552,7976,0.57,32
1997,1213,2117,0.57,33
1997,2040,3090,0.66,34
1997,1908,2807,0.68,35
1997,1662,2503,0.66,36
1997,345,718,0.48,37
1997,8216,11307,0.73,38
1997,6027,10742,0.56,39
1997,3629,5482,0.66,40
1997,7057,11092,0.64,41
1997,7206,9445,0.76,42
1997,716,907,0.79,43
1997,2794,5118,0.55,44
1997,262,449,0.58,45
1997,1978,2971,0.67,46
1997,1761,2971,0.59,47
1997,217,253,0.86,48
1997,588,578,1.02,49
1997,2215,3811,0.58,50
1997,2747,9887,0.28,51
1997,1463,3114,0.47,52
1997,701,2877,0.24,53
1997,543,2757,0.2,54
1997,280,2395,0.12,55
1997,25,22,1.14,56
1997,21551,44926,0.48,57
1997,7513,13249,0.57,58
1997,19586,37447,0.52,59
1997,23566,48415,0.49,60
1997,1952,2083,0.94,61
1997,10085,15026,0.67,62
1997,1450,1957,0.74,63
1997,2375,5263,0.45,64
1997,6767,9741,0.69,65
1997,4944,6420,0.77,66
1997,3463,5430,0.64,67
1997,9696,15240,0.64,68
1997,5132,9460,0.54,69
1997,3019,7770,0.39,70
1997,7241,13451,0.54,71
1997,7760,10845,0.72,72
1997,967,1706,0.57,73
1997,16664,29663,0.56,74
1997,4966,15219,0.33,75
1997,4623,6248,0.74,76
1997,5320,15511,0.34,77
1997,0,98453,0,78
1997,1438,2640,0.54,79
1997,3607,7877,0.46,80
1997,3484,6723,0.52,81
1997,3081,5265,0.59,82
1997,7872,12679,0.62,83
1997,2131,5759,0.37,84
1997,1717,4055,0.42,85
1997,2187,3103,0.7,86
1997,742,922,0.8,87
1997,3849,7066,0.54,88
1997,4028,6450,0.62,89
1997,2884,3941,0.73,90
1997,659,1180,0.56,91
1997,1872,3714,0.5,92
1997,4261,6285,0.68,93
1997,34104,43267,0.79,94
1997,37865,43377,0.87,95
1997,25206,34853,0.72,96
1997,10063,14733,0.68,97
1997,740,1620,0.46,98
1997,1393,1477,0.94,99
1997,1128,5347,0.21,100
1997,681,1863,0.37,101
1997,4584,5335,0.86,102
1997,530,981,0.54,103
1997,1489,6823,0.22,104
1997,3100,3405,0.91,105
1998,2737,9054,0.3,1
1998,165,315,0.52,2
1998,53,489,0.11,3
1998,440,399,1.1,4
1998,1403,26528,0.05,5
1998,1007,2524,0.4,6
1998,161,2669,0.06,7
1998,2026,2866,0.71,8
1998,1222,2639,0.46,9
1998,114,267,0.43,10
1998,1054,827,1.27,11
1998,503,1016,0.5,12
1998,2141,3764,0.57,13
1998,2639,5166,0.51,14
1998,631,635,0.99,15
1998,1453,4293,0.34,16
1998,241,1287,0.19,17
1998,2958,2421,1.22,18
1998,2336,1659,1.41,19
1998,476,627,0.76,20
1998,1422,2122,0.67,21
1998,2708,3558,0.76,22
1998,3618,5032,0.72,23
1998,1524,4207,0.36,24
1998,729,1303,0.56,25
1998,1067,1945,0.55,26
1998,1126,1043,1.08,27
1998,645,766,0.84,28
1998,2092,1667,1.25,29
1998,509,562,0.91,30
1998,2365,14059,0.17,31
1998,5267,7237,0.73,32
1998,1382,1877,0.74,33
1998,2046,2411,0.85,34
1998,2061,1582,1.3,35
1998,1711,1501,1.14,36
1998,384,1385,0.28,37
1998,9385,11557,0.81,38
1998,6581,7379,0.89,39
1998,3765,4648,0.81,40
1998,7633,10995,0.69,41
1998,7630,8223,0.93,42
1998,872,1301,0.67,43
1998,2816,7406,0.38,44
1998,297,1301,0.23,45
1998,2205,3120,0.71,46
1998,1878,4644,0.4,47
1998,267,471,0.57,48
1998,667,1472,0.45,49
1998,2458,3524,0.7,50
1998,2921,9032,0.32,51
1998,1509,4945,0.31,52
1998,713,4456,0.16,53
1998,635,4842,0.13,54
1998,723,8450,0.09,55
1998,29,85,0.34,56
1998,22875,85173,0.27,57
1998,8020,27247,0.29,58
1998,22059,51990,0.42,59
1998,25453,80466,0.32,60
1998,1858,4064,0.46,61
1998,11047,21895,0.5,62
1998,1331,5070,0.26,63
1998,2679,6615,0.4,64
1998,7441,14247,0.52,65
1998,5475,10524,0.52,66
1998,3820,8982,0.43,67
1998,10707,27747,0.39,68
1998,5718,10807,0.53,69
1998,3084,12658,0.24,70
1998,8218,25436,0.32,71
1998,10363,37480,0.28,72
1998,1230,4855,0.25,73
1998,18064,72290,0.25,74
1998,5187,22320,0.23,75
1998,4962,19518,0.25,76
1998,5386,39602,0.14,77
1998,0,127682,0,78
1998,1560,7906,0.2,79
1998,4205,19428,0.22,80
1998,3901,15092,0.26,81
1998,3523,16256,0.22,82
1998,8686,22249,0.39,83
1998,2254,8479,0.27,84
1998,2106,8365,0.25,85
1998,2542,7892,0.32,86
1998,766,2309,0.33,87
1998,4735,13357,0.35,88
1998,4789,14361,0.33,89
1998,3173,8396,0.38,90
1998,790,3050,0.26,91
