DATE,COE,GVA,OUTPUT,IC,D29-D39,INDUSTRY
1997,2598,8697,20233,11536,-62,1
1997,156,267,612,345,4,2
1997,52,418,877,459,10,3
1997,530,1124,1971,847,33,4
1997,1216,13653,18622,4969,48,5
1997,922,1685,3724,2039,52,6
1997,142,1559,2137,578,11,7
1997,1999,2618,10059,7441,40,8
1997,1275,1852,5628,3776,23,9
1997,103,283,1427,1144,3,10
1997,1091,1696,7043,5347,18,11
1997,425,671,4899,4228,12,12
1997,2062,2793,6566,3773,49,13
1997,2593,4462,12093,7631,40,14
1997,662,1071,4428,3357,16,15
1997,1439,4242,9612,5370,58,16
1997,210,842,2753,1911,10,17
1997,2877,4062,9843,5781,63,18
1997,2271,3618,7550,3932,54,19
1997,478,777,1679,902,13,20
1997,1335,2083,5358,3275,60,21
1997,2671,4189,11180,6991,79,22
1997,3292,5653,11808,6155,120,23
1997,1468,2152,10629,8477,47,24
1997,694,1134,3064,1930,22,25
1997,1011,1790,5879,4089,30,26
1997,1078,1854,4895,3041,46,27
1997,643,1159,3176,2017,37,28
1997,2065,4086,12251,8165,70,29
1997,526,867,2216,1349,15,30
1997,2119,6337,11995,5658,32,31
1997,4552,7976,19136,11160,139,32
1997,1213,2117,4865,2748,47,33
1997,2040,3090,6382,3292,70,34
1997,1908,2807,9790,6983,72,35
1997,1662,2503,8458,5955,56,36
1997,345,718,1897,1179,8,37
1997,8216,11307,24201,12894,203,38
1997,6027,10742,30786,20044,137,39
1997,3629,5482,13233,7751,80,40
1997,7057,11092,28103,17011,171,41
1997,7206,9445,34017,24572,129,42
1997,716,907,2496,1589,13,43
1997,2794,5118,11992,6874,35,44
1997,262,449,1293,844,6,45
1997,1978,2971,6770,3799,63,46
1997,1761,2971,6910,3939,61,47
1997,217,253,713,460,4,48
1997,588,578,2248,1670,7,49
1997,2215,3811,9160,5349,46,50
1997,2747,9887,28864,18977,658,51
1997,1463,3114,11600,8486,24,52
1997,701,2877,4129,1252,202,53
1997,543,2757,4000,1243,38,54
1997,280,2395,7899,5504,145,55
1997,25,22,69,47,2,56
1997,21551,44926,108691,63765,467,57
1997,7513,13249,25688,12439,665,58
1997,19586,37447,75520,38073,1131,59
1997,23566,48415,71575,23160,2875,60
1997,1952,2083,6451,4368,23,61
1997,10085,15026,28389,13363,457,62
1997,1450,1957,5504,3547,13,63
1997,2375,5263,12265,7002,0,64
1997,6767,9741,21780,12039,447,65
1997,4944,6420,9845,3425,113,66
1997,3463,5430,11772,6342,264,67
1997,9696,15240,33399,18159,596,68
1997,5132,9460,18800,9340,90,69
1997,3019,7770,13002,5232,77,70
1997,7241,13451,24148,10697,150,71
1997,7760,10845,17400,6555,154,72
1997,967,1706,2865,1159,31,73
1997,16664,29663,64105,34442,689,74
1997,4966,15219,33958,18739,263,75
1997,4623,6248,12478,6230,123,76
1997,5320,15511,24564,9053,-589,77
1997,0,98453,109210,10757,0,78
1997,1438,2640,3567,927,73,79
1997,3607,7877,11614,3737,195,80
1997,3484,6723,8785,2062,119,81
1997,3081,5265,9793,4528,113,82
1997,7872,12679,20195,7516,200,83
1997,2131,5759,7408,1649,36,84
1997,1717,4055,6054,1999,114,85
