DATE,COE,GVA,OUTPUT,IC,D29-D39,INDUSTRY
1997,21551,44926,108691,63765,467,57
1998,22875,85173,117200,68538,336,57
1999,24558,50362,123422,73060,589,57
2000,27542,57478,134074,76596,674,57
2001,29335,59424,142256,82832,559,57
2002,31170,67978,157672,89694,625,57
2003,33197,71304,170568,99264,641,57
2004,34872,74263,183340,109077,679,57
2005,37693,82378,190000,107622,669,57
2006,41615,88581,203792,115211,747,57
2007,47302,95081,224257,129176,813,57
2008,46277,89586,224592,135006,918,57
2009,44801,77097,196020,118923,965,57
2010,45126,80742,202110,121368,1002,57
2011,46521,85173,209500,124327,903,57
2012,47611,86436,214905,128469,1124,57
2013,49339,90810,224425,133615,984,57
2014,51350,96756,237881,141125,916,57
