DATE,COE,GVA,WAGESHARE,INDUSTRY,MANUFACTURING
1997,2598,8697,0.3,1,0
1998,2737,9054,0.3,1,0
1999,2751,7943,0.35,1,0
2000,2785,7749,0.36,1,0
2001,2792,7666,0.36,1,0
2002,2572,7795,0.33,1,0
2003,2659,8789,0.3,1,0
2004,2769,9335,0.3,1,0
2005,3067,7142,0.43,1,0
2006,3154,7323,0.43,1,0
2007,3663,7786,0.47,1,0
2008,3682,9037,0.41,1,0
2009,3832,7500,0.51,1,0
2010,3942,9406,0.42,1,0
2011,4016,9054,0.44,1,0
2012,4147,9141,0.45,1,0
2013,4478,10341,0.43,1,0
2014,4417,10211,0.43,1,0
1997,156,267,0.58,2,0
1998,165,315,0.52,2,0
1999,162,276,0.59,2,0
2000,162,265,0.61,2,0
2001,173,320,0.54,2,0
2002,175,295,0.59,2,0
2003,174,318,0.55,2,0
2004,184,336,0.55,2,0
2005,193,337,0.57,2,0
2006,191,335,0.57,2,0
2007,195,391,0.5,2,0
2008,200,354,0.56,2,0
2009,207,365,0.57,2,0
2010,198,344,0.58,2,0
2011,190,315,0.6,2,0
2012,196,326,0.6,2,0
2013,124,223,0.56,2,0
2014,73,172,0.42,2,0
1997,52,418,0.12,3,0
1998,53,489,0.11,3,0
1999,57,404,0.14,3,0
2000,63,398,0.16,3,0
2001,64,340,0.19,3,0
2002,67,377,0.18,3,0
2003,71,355,0.2,3,0
2004,75,372,0.2,3,0
2005,80,439,0.18,3,0
2006,93,465,0.2,3,0
2007,103,481,0.21,3,0
2008,120,468,0.26,3,0
2009,112,472,0.24,3,0
2010,94,582,0.16,3,0
2011,92,489,0.19,3,0
2012,109,506,0.22,3,0
2013,134,529,0.25,3,0
2014,160,615,0.26,3,0
1997,530,1124,0.47,4,1
1998,440,399,1.1,4,1
1999,344,463,0.74,4,1
2000,337,420,0.8,4,1
2001,313,692,0.45,4,1
2002,319,499,0.64,4,1
2003,259,400,0.65,4,1
2004,196,218,0.9,4,1
2005,192,89,2.16,4,1
2006,188,213,0.88,4,1
2007,217,87,2.49,4,1
2008,252,433,0.58,4,1
2009,244,205,1.19,4,1
2010,238,993,0.24,4,1
2011,269,399,0.67,4,1
2012,263,359,0.73,4,1
2013,181,200,0.91,4,1
2014,142,125,1.14,4,1
1997,1216,13653,0.09,5,1
1998,1403,26528,0.05,5,1
1999,1404,13348,0.11,5,1
2000,1626,20248,0.08,5,1
2001,1683,18526,0.09,5,1
2002,1523,17839,0.09,5,1
2003,1448,17800,0.08,5,1
2004,1685,18522,0.09,5,1
2005,1842,22115,0.08,5,1
2006,2277,26521,0.09,5,1
2007,2856,25784,0.11,5,1
2008,2611,29846,0.09,5,1
2009,2510,21466,0.12,5,1
2010,3065,25134,0.12,5,1
2011,3383,26528,0.13,5,1
2012,3717,22151,0.17,5,1
2013,4004,21861,0.18,5,1
2014,3713,18534,0.2,5,1
1997,922,1685,0.55,6,1
1998,1007,2524,0.4,6,1
1999,1027,772,1.33,6,1
2000,1147,1596,0.72,6,1
2001,1120,1890,0.59,6,1
2002,1006,2007,0.5,6,1
2003,1021,1897,0.54,6,1
2004,1206,1799,0.67,6,1
2005,1329,2184,0.61,6,1
2006,1592,2135,0.75,6,1
2007,1566,2216,0.71,6,1
2008,1573,2399,0.66,6,1
2009,1436,2351,0.61,6,1
2010,1460,2128,0.69,6,1
2011,1558,2524,0.62,6,1
2012,1797,3077,0.58,6,1
2013,1808,2903,0.62,6,1
2014,1835,2861,0.64,6,1
1997,142,1559,0.09,7,1
1998,161,2669,0.06,7,1
1999,155,1241,0.12,7,1
2000,182,1973,0.09,7,1
2001,189,1814,0.1,7,1
2002,172,1946,0.09,7,1
2003,169,1908,0.09,7,1
2004,197,1906,0.1,7,1
2005,210,2271,0.09,7,1
2006,241,2227,0.11,7,1
2007,309,2227,0.14,7,1
2008,281,2889,0.1,7,1
2009,290,3211,0.09,7,1
2010,287,2134,0.13,7,1
2011,379,2669,0.14,7,1
2012,470,2811,0.17,7,1
2013,567,2406,0.24,7,1
2014,652,2286,0.29,7,1
1997,1999,2618,0.76,8,1
1998,2026,2866,0.71,8,1
1999,2050,2650,0.77,8,1
2000,2145,2744,0.78,8,1
2001,2144,2802,0.77,8,1
2002,2230,2810,0.79,8,1
2003,2327,3118,0.75,8,1
2004,2375,2958,0.8,8,1
2005,2175,2724,0.8,8,1
2006,2446,2810,0.87,8,1
2007,2416,2801,0.86,8,1
2008,2393,2714,0.88,8,1
2009,2528,2929,0.86,8,1
2010,2561,2858,0.9,8,1
2011,2613,2866,0.91,8,1
2012,2759,3273,0.84,8,1
2013,2849,3642,0.78,8,1
2014,2943,3700,0.8,8,1
1997,1275,1852,0.69,9,1
1998,1222,2639,0.46,9,1
1999,1275,1860,0.69,9,1
2000,1315,1933,0.68,9,1
2001,1324,1966,0.67,9,1
2002,1336,1876,0.71,9,1
2003,1447,2258,0.64,9,1
2004,1574,2056,0.77,9,1
2005,1778,2506,0.71,9,1
2006,1650,2146,0.77,9,1
2007,1681,2164,0.78,9,1
2008,1740,2138,0.81,9,1
2009,1827,2349,0.78,9,1
2010,2107,2625,0.8,9,1
2011,2199,2639,0.83,9,1
2012,2170,2691,0.81,9,1
2013,2199,2817,0.78,9,1
2014,2300,3002,0.77,9,1
1997,103,283,0.36,10,1
1998,114,267,0.43,10,1
1999,122,173,0.71,10,1
2000,148,202,0.73,10,1
2001,326,469,0.7,10,1
2002,318,513,0.62,10,1
2003,228,773,0.29,10,1
2004,212,221,0.96,10,1
2005,244,304,0.8,10,1
2006,229,273,0.84,10,1
2007,222,271,0.82,10,1
2008,191,308,0.62,10,1
2009,188,492,0.38,10,1
2010,244,402,0.61,10,1
2011,201,267,0.75,10,1
2012,166,275,0.6,10,1
2013,123,263,0.47,10,1
2014,148,301,0.49,10,1
1997,1091,1696,0.64,11,1
1998,1054,827,1.27,11,1
1999,1055,1506,0.7,11,1
2000,1057,1398,0.76,11,1
2001,1059,1377,0.77,11,1
2002,1136,1502,0.76,11,1
2003,1223,2014,0.61,11,1
2004,1137,1394,0.82,11,1
2005,949,1025,0.93,11,1
2006,892,1197,0.75,11,1
2007,893,1091,0.82,11,1
2008,847,667,1.27,11,1
2009,818,895,0.91,11,1
2010,814,744,1.09,11,1
2011,814,827,0.98,11,1
2012,788,1064,0.74,11,1
2013,741,1131,0.66,11,1
2014,785,1235,0.64,11,1
1997,425,671,0.63,12,1
1998,503,1016,0.5,12,1
1999,537,702,0.76,12,1
2000,556,719,0.77,12,1
2001,594,774,0.77,12,1
2002,668,865,0.77,12,1
2003,717,858,0.84,12,1
2004,825,980,0.84,12,1
2005,749,1347,0.56,12,1
2006,823,871,0.94,12,1
2007,816,758,1.08,12,1
2008,840,897,0.94,12,1
